ABBV	Abbvie Inc.	Richard A. Gonzalez	2014	22006271
PCLN	Priceline Group Inc.	Darren Huston	2014	21966094
NOC	Northrop Grumman Corp	Wesley G. Bush	2014	21795703
PPG	PPG Industries Inc	C. E. Bunch	2014	21628081
DVN	Devon Energy Corp	John Richels	2014	21611030
SBUX	Starbucks Corp	Howard Schultz	2014	21466454
WFC	Wells Fargo & Company	John G. Stumpf	2014	21426391
MDLZ	Mondelez International Inc.	Irene Rosenfeld	2014	21039946
TSO	Tesoro Corp	Gregory J. Goff	2014	20855549
APC	Anadarko Petroleum Corp	R. A. Walker	2014	20720187
D	Dominion Resources Inc	Thomas F. Farrell II	2014	20612945
ALXN	Alexion Pharmaceuticals Inc	Leonard Bell M.D.	2014	20570703
